序号,传输方向,时间标识,名称,帧ID(靠右对齐),帧格式,帧类型,数据长度,数据(HEX)
0,接收,02:53:31:270,,0x18FF90F3,数据帧,扩展帧,8,01 A8 00 00 00 00 00 00
1,接收,02:53:31:270,,0x18FF10F3,数据帧,扩展帧,8,00 00 00 00 00 00 88 13
2,接收,02:53:31:270,,0x18FF11F3,数据帧,扩展帧,8,00 00 80 A2 00 00 00 00
3,接收,02:53:31:270,,0x18FF14F3,数据帧,扩展帧,8,00 20 4E 00 00 0C 00 00
4,接收,02:53:31:270,,0x18FF91F3,数据帧,扩展帧,8,00 00 00 01 00 00 00 00
5,接收,02:53:31:270,,0x18FFB2F3,数据帧,扩展帧,8,25 E8 03 F4 81 BB 80 3E
6,接收,02:53:31:271,,0x18FFB3F3,数据帧,扩展帧,8,04 78 8C A0 B4 C8 DC F0
7,接收,02:53:31:271,,0x18EF49EF,数据帧,扩展帧,8,01 00 10 00 00 00 00 00
8,接收,02:53:31:271,,0x18FEF117,数据帧,扩展帧,8,00 00 00 00 00 00 00 00
9,接收,02:53:31:271,,0x18EBFFD7,数据帧,扩展帧,8,46 F4 10 00 00 00 00 00
10,接收,02:53:31:271,,0x18F00503,数据帧,扩展帧,8,00 00 00 7D 00 00 53 00
11,接收,02:53:31:271,,0x181000EF,数据帧,扩展帧,8,11 03 6E 00 00 00 10 27
12,接收,02:53:31:271,,0x181100EF,数据帧,扩展帧,8,00 00 6E 00 20 4E 20 4E
13,接收,02:53:31:271,,0x18FF90F3,数据帧,扩展帧,8,01 A8 00 00 00 00 00 00
14,接收,02:53:31:271,,0x18FF10F3,数据帧,扩展帧,8,00 00 00 00 00 00 88 13
15,接收,02:53:31:271,,0x18FF11F3,数据帧,扩展帧,8,00 00 80 A2 00 00 00 00
16,接收,02:53:31:272,,0x18FF14F3,数据帧,扩展帧,8,00 20 4E 00 00 0C 00 00
17,接收,02:53:31:272,,0x18FF91F3,数据帧,扩展帧,8,00 00 00 01 00 00 00 00
18,接收,02:53:31:272,,0x18FFB2F3,数据帧,扩展帧,8,24 E8 03 F4 81 BB 80 3E
